SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
3416,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,08-12-2002 09:30,3.1029563
3417,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,09-12-2002 09:30,2.176148
3418,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,14-05-2003 09:15,5.346974
3419,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,15-05-2003 09:15,6.091516
3420,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,16-05-2003 09:30,8.673059
3421,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,17-05-2003 09:00,11.132197
3422,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,18-05-2003 09:30,6.437425
3423,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,19-05-2003 09:00,3.1404183
3424,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,23-07-2003 09:45,2.5791137
3425,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,24-07-2003 09:30,6.6308722
3426,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,25-07-2003 09:30,12.446176
3427,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,26-07-2003 09:30,13.589376
3428,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,27-07-2003 09:30,15.390749
3429,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-07-2003 09:30,16.649431
3430,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,29-07-2003 09:30,10.675145
3431,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,30-07-2003 11:00,11.926419
3432,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,31-07-2003 11:00,12.446176
3433,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,01-08-2003 09:30,22.220331
3434,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,02-08-2003 09:30,19.450281
3435,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,03-08-2003 09:30,16.55021
3436,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,04-08-2003 09:00,15.0832615
3437,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,05-08-2003 09:00,13.68349
3438,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,06-08-2003 09:00,12.8756075
3439,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,07-08-2003 09:00,15.171134
3440,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,08-08-2003 09:00,18.78463
3441,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,09-08-2003 08:45,20.797386
3442,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,10-08-2003 08:45,23.54837
3443,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,11-08-2003 08:45,25.272541
3444,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,12-08-2003 08:30,24.574093
3445,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,13-08-2003 08:45,18.78463
3446,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,14-08-2003 09:00,15.37153
3447,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,15-08-2003 09:00,12.8756075
3448,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,16-08-2003 09:00,11.836412
3449,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,17-08-2003 09:30,6.6006536
3450,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,18-08-2003 09:30,3.3507214
3451,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,19-08-2003 09:30,3.0192425
3452,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,20-08-2003 09:30,2.763906
3453,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,24-08-2003 09:30,3.4660478
3454,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,25-08-2003 09:30,8.322563
3455,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,26-08-2003 09:00,26.705103
3456,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,27-08-2003 09:00,31.81133
3457,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-08-2003 09:00,13.957929
3458,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,29-08-2003 09:30,6.6354766
3459,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,30-08-2003 09:30,5.651834
3460,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,31-08-2003 09:30,3.1308923
3461,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,01-09-2003 09:30,22.220331
3462,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,06-09-2003 10:00,12.8756075
3463,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,09-09-2003 09:30,13.68349
3464,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,22-09-2003 09:30,3.0341163
3465,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,23-09-2003 09:30,3.7767398
3466,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,24-09-2003 09:30,16.55021
3467,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,25-09-2003 09:00,35.51076
3468,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,26-09-2003 09:00,44.49292
3469,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,27-09-2003 09:00,41.39878
3470,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-09-2003 09:00,38.89598
3471,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,29-09-2003 09:00,28.39083
3472,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,30-09-2003 09:00,29.153378
3473,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,01-10-2003 09:00,24.574093
3474,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,02-10-2003 09:00,19.787355
3475,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,03-10-2003 09:00,15.0832615
3476,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,04-10-2003 09:00,14.515331
3477,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,05-10-2003 09:00,22.549212
3478,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,06-10-2003 09:00,24.574093
3479,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,07-10-2003 09:00,23.212496
3480,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,08-10-2003 09:00,22.220331
3481,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,09-10-2003 09:00,22.879446
3482,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,10-10-2003 09:00,18.78463
3483,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,11-10-2003 09:00,16.852745
3484,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,12-10-2003 09:00,15.66172
3485,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,13-10-2003 09:00,13.144184
3486,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,14-10-2003 09:00,12.094663
3487,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,15-10-2003 09:00,8.971616
3488,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,16-10-2003 09:00,7.3572097
3489,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,17-10-2003 09:30,4.9425964
3490,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,18-10-2003 09:30,4.591629
3491,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,19-10-2003 09:30,5.1773477
3492,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,20-10-2003 09:30,5.490371
3493,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,21-10-2003 09:30,5.794611
3494,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,22-10-2003 09:30,9.064322
3495,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,23-10-2003 09:00,23.212496
3496,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,24-10-2003 09:00,28.721474
3497,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,25-10-2003 09:00,35.986107
3498,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,26-10-2003 09:00,33.638687
3499,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,27-10-2003 09:00,29.589447
3500,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-10-2003 09:00,23.888096
3501,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,29-10-2003 09:00,19.450281
3502,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,30-10-2003 09:00,19.115723
3503,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,31-10-2003 09:00,17.806438
3504,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,01-11-2003 09:00,14.515331
3505,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,02-11-2003 09:00,15.66172
3506,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,03-11-2003 09:00,15.37153
3507,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,04-11-2003 09:00,13.68349
3508,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,05-11-2003 09:00,12.8756075
3509,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,06-11-2003 09:00,12.350389
3510,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,07-11-2003 09:00,11.836412
3511,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,08-11-2003 09:30,9.3802185
3512,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,09-11-2003 09:30,7.3010683
3513,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,10-11-2003 09:30,6.648085
3514,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,11-11-2003 09:30,6.0546246
3515,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,12-11-2003 09:30,5.678352
3516,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,13-11-2003 09:30,4.7147946
3517,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,26-11-2003 09:30,4.756193
3518,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,27-11-2003 09:30,7.1538343
3519,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-11-2003 09:30,7.062388
3520,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,29-11-2003 09:30,7.427604
3521,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,30-11-2003 09:30,8.3472185
3522,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,01-12-2003 09:30,7.526077
3523,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,02-12-2003 09:30,7.0587883
3524,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,03-12-2003 09:30,6.4586296
3525,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,04-12-2003 09:30,5.8530726
3526,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,05-12-2003 09:30,5.3609147
3527,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,06-12-2003 09:30,4.6113515
3528,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,14-12-2003 09:00,12.09242
3529,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,15-12-2003 09:00,18.78463
3530,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,16-12-2003 09:00,63.90858
3531,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,17-12-2003 09:00,72.27212
3532,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,18-12-2003 09:00,75.72096
3533,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,19-12-2003 09:00,74.33187
3534,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,20-12-2003 09:00,73.642944
3535,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,21-12-2003 09:00,53.653362
3536,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,22-12-2003 09:00,38.40419
3537,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,23-12-2003 09:00,24.922394
3538,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,24-12-2003 09:00,24.229683
3539,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,25-12-2003 09:00,18.125332
3540,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,26-12-2003 09:00,12.8756075
3541,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,27-12-2003 09:30,9.703759
3542,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-12-2003 09:30,5.576479
3543,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,29-12-2003 09:30,3.619139
3544,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,28-01-2004 09:30,7.779681
3545,Chandraiah drain  Gudivada,Andhra Pradesh SW,28,Andhra Pradesh,510,KRISHNA,GUDIVADA,-,-,-,Krishna,-,-,-,-,16.45194444,80.99972222,24-05-2004 09:30,3.023107
