dataset,source_name,source_code,latitude,longitude,candidate_asset_id,candidate_asset_code,candidate_asset_name,match_score,alias_score,river_score,distance_km,method,recovery_status
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBC,No,16.33326,80.62554,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBD,No,16.31868,80.63327,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBD,No,16.31868,80.63327,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE,No,16.51174,80.60781,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE,No,16.51174,80.60781,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE1,No,16.51841,80.6239,182,AP_BAR_WRIS_B00131,Sir Arthur Cotton Barrage /Godavari Barrage,0.4516,0.4516,0.1905,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE1,No,16.51841,80.6239,182,AP_BAR_WRIS_B00131,Sir Arthur Cotton Barrage /Godavari Barrage,0.4516,0.4516,0.1905,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE2,No,16.48234,80.66754,186,AP_BAR_WRIS_B00429,Thotapalli Barrage,0.4516,0.4516,0.1905,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBE2,No,16.48234,80.66754,186,AP_BAR_WRIS_B00429,Thotapalli Barrage,0.4516,0.4516,0.1905,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBJ,No,16.24176,80.5751,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBJ,No,16.24176,80.5751,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBK,No,16.39366,80.6311,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBK,No,16.39366,80.6311,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBN,No,15.97249,80.39792,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBN,No,15.97249,80.39792,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBR,No,16.5162,80.63053,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.5263,0.5263,0.2222,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBR,No,16.5162,80.63053,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.5263,0.5263,0.2222,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBW,No,16.50021,80.60178,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PBW,No,16.50021,80.60178,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PKC,No,16.11858,80.47669,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-PKC,No,16.11858,80.47669,173,AP_DAM_WRIS_AP01LH0119,Swamy Tank,0.4211,0.4211,0.1111,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SB,No,16.93624,81.75209,140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,0.4667,0.4667,0.0,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SB,No,16.93624,81.75209,140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,0.4667,0.4667,0.0,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBE,No,16.93827,81.78422,140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,0.4516,0.4516,0.0,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBE,No,16.93827,81.78422,140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,0.4516,0.4516,0.0,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBW,No,16.93521,81.72621,140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,0.4516,0.4516,0.0,,REVIEW,STILL_UNMATCHED
ap_scada_water_discharge_2023_2025.csv,SC-BA-AP-SBW,No,16.93521,81.72621,140,AP_DAM_WRIS_D06354,Sri Subbaraya Sagar,0.4516,0.4516,0.0,,REVIEW,STILL_UNMATCHED
