asset_type,field,source_table,source_column,role
dam,asset_engineering_evidence_normalized__gate_size_raw,asset_engineering_evidence_normalized,gate_size_raw,FEATURE
dam,asset_engineering_evidence_normalized__gate_type,asset_engineering_evidence_normalized,gate_type,FEATURE
dam,asset_engineering_evidence_normalized__design_flood_source_value,asset_engineering_evidence_normalized,design_flood_source_value,FEATURE
dam,asset_engineering_evidence_normalized__spillway_capacity_source_value,asset_engineering_evidence_normalized,spillway_capacity_source_value,FEATURE
dam,asset_engineering_evidence_normalized__spillway_level_m,asset_engineering_evidence_normalized,spillway_level_m,FEATURE
dam,asset_engineering_evidence_normalized__spillway_length_m,asset_engineering_evidence_normalized,spillway_length_m,FEATURE
dam,asset_engineering_evidence_normalized__spillway_type,asset_engineering_evidence_normalized,spillway_type,FEATURE
dam,asset_engineering_evidence_normalized__river_name,asset_engineering_evidence_normalized,river_name,FEATURE
dam,asset_engineering_evidence_normalized__dam_type,asset_engineering_evidence_normalized,dam_type,FEATURE
dam,asset_engineering_evidence_normalized__seismic_zone,asset_engineering_evidence_normalized,seismic_zone,FEATURE
dam,asset_engineering_evidence_normalized__registry_status,asset_engineering_evidence_normalized,registry_status,FEATURE
dam,asset_engineering_evidence_normalized__nrld_no,asset_engineering_evidence_normalized,nrld_no,FEATURE
dam,asset_engineering_evidence_normalized__structure_code,asset_engineering_evidence_normalized,structure_code,FEATURE
dam,asset_engineering_evidence_normalized__nearest_city,asset_engineering_evidence_normalized,nearest_city,FEATURE
dam,asset_engineering_evidence_normalized__operating_agency,asset_engineering_evidence_normalized,operating_agency,FEATURE
dam,asset_engineering_evidence_normalized__age_years,asset_engineering_evidence_normalized,age_years,FEATURE
dam,asset_engineering_evidence_normalized__engineering_fields_available,asset_engineering_evidence_normalized,engineering_fields_available,FEATURE
dam,asset_engineering_evidence_normalized__engineering_completeness,asset_engineering_evidence_normalized,engineering_completeness,FEATURE
dam,asset_engineering_evidence_normalized__has_direct_hydrology,asset_engineering_evidence_normalized,has_direct_hydrology,FEATURE
dam,asset_engineering_evidence_normalized__authority_level,asset_engineering_evidence_normalized,authority_level,FEATURE
dam,asset_engineering_evidence_normalized__origin,asset_engineering_evidence_normalized,origin,FEATURE
dam,asset_engineering_evidence_normalized__quality_flag,asset_engineering_evidence_normalized,quality_flag,FEATURE
dam,asset_engineering_evidence_normalized__confidence_score,asset_engineering_evidence_normalized,confidence_score,FEATURE
dam,asset_engineering_evidence_normalized__updated_at,asset_engineering_evidence_normalized,updated_at,FEATURE
dam,official_evidence__id,official_evidence,id,IDENTIFIER
dam,official_evidence__document_id,official_evidence,document_id,FEATURE
dam,official_evidence__source_id,official_evidence,source_id,FEATURE
dam,official_evidence__evidence_type,official_evidence,evidence_type,FEATURE
dam,official_evidence__field_name,official_evidence,field_name,FEATURE
dam,official_evidence__numeric_value,official_evidence,numeric_value,FEATURE
dam,official_evidence__text_value,official_evidence,text_value,FEATURE
dam,official_evidence__unit,official_evidence,unit,FEATURE
dam,official_evidence__rating_system,official_evidence,rating_system,FEATURE
dam,official_evidence__observed_at,official_evidence,observed_at,FEATURE
dam,official_evidence__valid_from,official_evidence,valid_from,FEATURE
dam,official_evidence__valid_to,official_evidence,valid_to,FEATURE
dam,official_evidence__authority_level,official_evidence,authority_level,FEATURE
dam,official_evidence__origin,official_evidence,origin,FEATURE
dam,official_evidence__quality_flag,official_evidence,quality_flag,FEATURE
dam,official_evidence__confidence_score,official_evidence,confidence_score,FEATURE
dam,official_evidence__is_official,official_evidence,is_official,FEATURE
dam,official_evidence__is_derived,official_evidence,is_derived,FEATURE
dam,official_evidence__is_synthetic,official_evidence,is_synthetic,FEATURE
dam,official_evidence__processing_method,official_evidence,processing_method,FEATURE
dam,official_evidence__extraction_metadata,official_evidence,extraction_metadata,FEATURE
dam,official_evidence__created_at,official_evidence,created_at,FEATURE
dam,official_evidence__updated_at,official_evidence,updated_at,FEATURE
barrage,asset__id,assets,id,IDENTIFIER
barrage,asset__asset_code,assets,asset_code,IDENTIFIER
barrage,asset__name,assets,name,FEATURE
barrage,asset__asset_type,assets,asset_type,FEATURE
barrage,asset__subtype,assets,subtype,FEATURE
barrage,asset__district,assets,district,FEATURE
barrage,asset__owner,assets,owner,FEATURE
barrage,asset__status,assets,status,FEATURE
barrage,asset__identity_status,assets,identity_status,FEATURE
barrage,asset__built_year,assets,built_year,FEATURE
barrage,asset__design_life_years,assets,design_life_years,FEATURE
barrage,asset__material,assets,material,FEATURE
barrage,asset__condition,assets,condition,CONTEXT_ONLY_DO_NOT_USE_AS_TARGET
barrage,asset__representative_geometry,assets,representative_geometry,GEOMETRY_EXCLUDED
barrage,asset__source_id,assets,source_id,FEATURE
barrage,asset__confidence_score,assets,confidence_score,FEATURE
barrage,asset__is_estimated,assets,is_estimated,FEATURE
barrage,asset__created_at,assets,created_at,FEATURE
barrage,asset__updated_at,assets,updated_at,FEATURE
barrage,dam_barrage_feature_snapshots__asset_code,dam_barrage_feature_snapshots,asset_code,IDENTIFIER
