osm_way_id,asset_code,anchor_asset_code,source_name,display_name,normalized_name,structure_key,bridge_type,bridge_tag,highway,railway,ref,length_m_derived,width_m_reported,lanes_reported,material_reported,start_year_reported,latitude,longitude,is_named,identity_status,geometry_source,source_dataset,source_relation,render_width_m,render_width_basis,verified_pier_count,pier_count_status,digital_twin_strategy,rendering_estimated
829070616,AP_BR_OSM_W829070616,,Old Madras Road,Old Madras Road,old madras road,NAME::old madras road::ROAD,ROAD,yes,trunk,,NH69,54.46,,3.0,,,13.195469150000001,78.7042764,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070620,AP_BR_OSM_W829070620,,Palamaner Bypass,Palamaner Bypass,palamaner bypass,NAME::palamaner bypass::ROAD,ROAD,yes,trunk,,NH69,54.31,,3.0,,,13.22124805,78.7349944,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070621,AP_BR_OSM_W829070621,,Palamaner Bypass,Palamaner Bypass,palamaner bypass,NAME::palamaner bypass::ROAD,ROAD,yes,trunk,,NH69,49.09,,3.0,,,13.22139295,78.73493805,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070624,AP_BR_OSM_W829070624,,Old Madras Road,Old Madras Road,old madras road,NAME::old madras road::ROAD,ROAD,yes,trunk,,NH42;NH69,78.37,,2.0,,,13.1977416,78.7086209,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070632,AP_BR_OSM_W829070632,,Palamaner Bypass,Palamaner Bypass,palamaner bypass,NAME::palamaner bypass::ROAD,ROAD,yes,trunk,,NH69,28.66,,3.0,,,13.2120965,78.75202089999999,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070633,AP_BR_OSM_W829070633,,Palamaner Bypass,Palamaner Bypass,palamaner bypass,NAME::palamaner bypass::ROAD,ROAD,yes,trunk,,NH69,32.47,,3.0,,,13.2119381,78.75197650000001,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070635,AP_BR_OSM_W829070635,,Palamaner Bypass,Palamaner Bypass,palamaner bypass,NAME::palamaner bypass::ROAD,ROAD,yes,trunk,,NH69,53.19,,3.0,,,13.2053249,78.7661201,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829070660,AP_BR_OSM_W829070660,,Old Madras Road,Old Madras Road,old madras road,NAME::old madras road::ROAD,ROAD,yes,trunk,,NH69,21.36,,3.0,,,13.186216250000001,78.60398435,True,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,10.5,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829089874,AP_BR_OSM_W829089874,,,Unnamed Road Bridge - OSM 829089874,,REF::nh44::ROAD,ROAD,yes,trunk,,NH44,62.58,,2.0,,,14.268078150000001,77.63000124999999,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829089876,AP_BR_OSM_W829089876,,,Unnamed Road Bridge - OSM 829089876,,REF::nh44::ROAD,ROAD,yes,trunk,,NH44,60.99,,2.0,,,14.268019899999999,77.6301269,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,ESTIMATED_FROM_LANES_FOR_RENDERING,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
829093481,AP_BR_OSM_W829093481,,,Unnamed Road Bridge - OSM 829093481,,OSM_WAY::829093481,ROAD,yes,residential,,,51.54,,,,,14.33464725,77.58465315000001,False,SOURCE_REPORTED,OPENSTREETMAP,GEOFABRIK_SOUTHERN_ZONE_OSM,2022095,7.0,VISUALIZATION_ESTIMATE,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True
