page,line_number,chainages,bridge_types,conditions,defects,text
16,32,55.300; 56.050; 750; 56.150; 850; 59.100; 59.725; 625; 59.250; 59.825; 65.000; 66.250,,,,LHS of km 55.300 - km 56.050 (750 m) | RHS of km 55.300 - km 56.150 (850 m) | LHS of km 59.100 - km 59.725 (625 m) | RHS of km 59.250 - km 59.825 (625 m) | LHS of km 65.000 - km 66.250 (1250 m)
16,33,55.300; 56.150; 850; 59.100; 59.725; 625; 59.250; 59.825; 65.000; 66.250; 65.350; 66.800,,,,RHS of km 55.300 - km 56.150 (850 m) | LHS of km 59.100 - km 59.725 (625 m) | RHS of km 59.250 - km 59.825 (625 m) | LHS of km 65.000 - km 66.250 (1250 m) | RHS of km 65.350 - km 66.800 (1450 m)
16,34,59.100; 59.725; 625; 59.250; 59.825; 65.000; 66.250; 65.350; 66.800; 74.350; 75.750,,,,LHS of km 59.100 - km 59.725 (625 m) | RHS of km 59.250 - km 59.825 (625 m) | LHS of km 65.000 - km 66.250 (1250 m) | RHS of km 65.350 - km 66.800 (1450 m) | LHS of km 74.350 - km 75.750 (1400 m)
16,35,59.250; 59.825; 625; 65.000; 66.250; 65.350; 66.800; 74.350; 75.750; 93.475; 94.250; 775,,,,RHS of km 59.250 - km 59.825 (625 m) | LHS of km 65.000 - km 66.250 (1250 m) | RHS of km 65.350 - km 66.800 (1450 m) | LHS of km 74.350 - km 75.750 (1400 m) | LHS of km 93.475 - km 94.250 (775 m)
16,36,65.000; 66.250; 65.350; 66.800; 74.350; 75.750; 93.475; 94.250; 775; 131.225; 132.475,,,,LHS of km 65.000 - km 66.250 (1250 m) | RHS of km 65.350 - km 66.800 (1450 m) | LHS of km 74.350 - km 75.750 (1400 m) | LHS of km 93.475 - km 94.250 (775 m) | LHS of km 131.225 - km 132.475 (1250 m)
16,37,65.350; 66.800; 74.350; 75.750; 93.475; 94.250; 775; 131.225; 132.475; 131.425; 132.450,,,,RHS of km 65.350 - km 66.800 (1450 m) | LHS of km 74.350 - km 75.750 (1400 m) | LHS of km 93.475 - km 94.250 (775 m) | LHS of km 131.225 - km 132.475 (1250 m) | RHS of km 131.425 - km 132.450 (1025 m)
16,38,74.350; 75.750; 93.475; 94.250; 775; 131.225; 132.475; 131.425; 132.450; 136.225; 137.200; 975,,,,LHS of km 74.350 - km 75.750 (1400 m) | LHS of km 93.475 - km 94.250 (775 m) | LHS of km 131.225 - km 132.475 (1250 m) | RHS of km 131.425 - km 132.450 (1025 m) | RHS of km 136.225 - km 137.200 (975 m)
16,39,93.475; 94.250; 775; 131.225; 132.475; 131.425; 132.450; 136.225; 137.200; 975; 155.200; 155.950; 750,,,,LHS of km 93.475 - km 94.250 (775 m) | LHS of km 131.225 - km 132.475 (1250 m) | RHS of km 131.425 - km 132.450 (1025 m) | RHS of km 136.225 - km 137.200 (975 m) | RHS of km 155.200 - km 155.950 (750 m)
16,40,131.225; 132.475; 131.425; 132.450; 136.225; 137.200; 975; 155.200; 155.950; 750; 162.250; 163.100; 850,,,,LHS of km 131.225 - km 132.475 (1250 m) | RHS of km 131.425 - km 132.450 (1025 m) | RHS of km 136.225 - km 137.200 (975 m) | RHS of km 155.200 - km 155.950 (750 m) | LHS of krn 162.250 - km 163.100 (850 m)
16,41,131.425; 132.450; 136.225; 137.200; 975; 155.200; 155.950; 750; 162.250; 163.100; 850; 162.850; 163.000; 450,,,,RHS of km 131.425 - km 132.450 (1025 m) | RHS of km 136.225 - km 137.200 (975 m) | RHS of km 155.200 - km 155.950 (750 m) | LHS of krn 162.250 - km 163.100 (850 m) | RHS of km 162.850 - km 163.000 (450 m)
