"priority","asset_code","name","asset_type","district","identity_status","reality_pack","imagery_status","model_status"
"4","AP_DAM_WRIS_AP01HH0133","Kandaleru /Kandaleru Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0133","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D06351","Kanelal Tank","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D06351","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D00719","Kanigiri Dam","dam","Sri Potti Sriramulu Nellore","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D00719","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0099","Koduru Reservoir","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0099","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0056","Konam Dam","dam","Visakhapatnam","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0056","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D02041","Kovvadakalva Dam","dam","West Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D02041","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0052","Krishnapuram (Chittor) Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0052","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01HH0169","Kumaradhara Pushpadhara
Dam","dam","Chittoor","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01HH0169","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D02317","Kumili Dam","dam","Vizianagaram","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D02317","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0100","Kushavathi Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0100","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_D02086","Lower Sagileru Dam","dam","Y.S.R.","CANDIDATE","data\reality_twin\AP_DAM_WRIS_D02086","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01LH0102","Madakasira Dam","dam","Anantapur","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01LH0102","NOT_STARTED","NOT_AUDITED"
"4","AP_DAM_WRIS_AP01MH0078","Maddigedda Dam","dam","East Godavari","CANDIDATE","data\reality_twin\AP_DAM_WRIS_AP01MH0078","NOT_STARTED","NOT_AUDITED"
