asset_id,asset_code,asset_name,asset_type,document_id,source_id,evidence_id,completion_year,commencement_year,dam_height_m,dam_length_m,dam_volume_source_value,gate_count,gate_size_raw,gate_type,design_flood_source_value,spillway_capacity_source_value,spillway_level_m,spillway_length_m,spillway_type,river_name,dam_type,seismic_zone,registry_status,nrld_no,structure_code,nearest_city,operating_agency,age_years,engineering_fields_available,engineering_completeness,has_direct_hydrology,authority_level,origin,quality_flag,confidence_score,updated_at
93,AP_DAM_WRIS_AP01LH0070,Pedaballi Dam,dam,1,103,75,2000,,12.0,149.0,,,,,,2.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0070,D03927,Kadiri,Irrg.& CAD Dept.,26.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
94,AP_DAM_WRIS_AP01LH0098,Kampasamudram New Dam,dam,1,103,77,,,11.2,1830.0,,,,RD,,,,,,Pennar,TE,Seismic Zone-II,,AP01LH0098,D03639,Udayagiri,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
95,AP_DAM_WRIS_AP01MH0100,Kushavathi Dam,dam,1,103,78,,,17.47,1030.0,,,,,,739.0,,,,Khushavathi,TE,Seismic Zone-II,,AP01MH0100,D03683,Rayachoti,Irrg.& CAD Dept.,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
96,AP_DAM_WRIS_AP01LH0102,Madakasira Dam,dam,1,103,79,,,12.0,686.0,,,,,,83.0,,,,,TE + PG,Seismic Zone-II,,AP01LH0102,D03753,Madakasira,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
97,AP_DAM_WRIS_AP01LH0136,Marala Dam,dam,1,103,80,,,13.8,624.0,,,,,,,,,,,TE,Seismic Zone-II,Under Construction,AP01LH0136,D03770,Penukonda,Irrg.& CAD Dept.,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
98,AP_DAM_WRIS_AP01MH0036,Muraripalli / Mararipalli Dam,dam,1,103,81,1975,,18.68,732.0,,,,,,,,,,Krishna,TE,Seismic Zone-II,Completed,AP01MH0036,D03792,Markapur,Irrg.& CAD Dept.,51.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
99,AP_DAM_WRIS_AP01MH0138,"N.T.R. , Thatiparthi(V), Madugula (M) Dam",dam,1,103,82,,,24.51,1317.0,,,,LG,,16386.0,,,,,TE + PG,Seismic Zone-II,Under Construction,AP01MH0138,D03798,Chodavaram,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
100,AP_DAM_WRIS_AP01MH0028,Nagurur Dam,dam,1,103,83,1971,,28.05,800.0,,,,LG,,,,,,,TE,Seismic Zone-II,Completed,AP01MH0028,D03800,Alur,Irrg.& CAD Dept.,55.0,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
101,AP_DAM_WRIS_AP01LH0037,"Pedda Cheruvu , Nagasamudram Dam",dam,1,103,84,1975,,14.0,1295.68,,,,,,2899.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0037,D04530,Dharmavaram,Irrg.& CAD Dept.,51.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
102,AP_DAM_WRIS_AP01LH0108,Pedda Rayala Cheruvu Dam,dam,1,103,85,,,12.0,800.0,,,,,,,,,,,TE,Seismic Zone-II,,AP01LH0108,D04532,Punganuru,Irrg.& CAD Dept.,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
103,AP_DAM_WRIS_AP01MH0109,Pedda Tippa Samudram Dam,dam,1,103,86,,,15.39,1550.0,,,,,,474.0,,,,,TE + PG,Seismic Zone-II,,AP01MH0109,D04533,Madanapalle,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
104,AP_DAM_WRIS_AP01LH0107,"Peddabadava, Tulasikrishan Dam",dam,1,103,87,,,10.74,571.0,118.0,,,,,31.0,,,,Peddabadava,TE,Seismic Zone-III,,AP01LH0107,D04534,Sri Kalahasti,Irrg.& CAD Dept.,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
105,AP_DAM_WRIS_D04538,"Peddayetivanka, Annupal Dam",dam,1,103,88,,,12.11,235.0,,,,,,82.0,,,,Peddayetivanka,TE,Seismic Zone-III,,,D04538,Puttur,,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
106,AP_DAM_WRIS_AP01LH0067,Pendlur Dam,dam,1,103,89,1998,,10.6,1045.0,,,,,,293.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0067,D04553,Pulivendla,Irrg.& CAD Dept.,28.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
107,AP_DAM_WRIS_AP01LH0111,Peruru Dam,dam,1,103,90,,,10.0,2520.0,,,,,,,,,,,TE,Seismic Zone-III,,AP01LH0111,D04558,Chandragiri,Irrg.& CAD Dept.,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
108,AP_DAM_WRIS_AP01LH0045,Pittakayagulla Dam,dam,1,103,91,1978,,12.5,,,,,,,429.0,,,,Vemuluri Stream,TE,Seismic Zone-II,Completed,AP01LH0045,D04567,Giddalur,Irrg.& CAD Dept.,48.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
109,AP_DAM_WRIS_AP01LH0115,Rayalacheruvu Dam,dam,1,103,92,,,10.0,920.0,260.0,,,,,21.0,,,,Pennar,TE,Seismic Zone-II,,AP01LH0115,D04630,Tadpatri,Irrg.& CAD Dept.,,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
110,AP_DAM_WRIS_AP01LH0048,Sadasivakona Dam,dam,1,103,93,1979,,14.03,619.0,137.0,,,,,180.0,,,,Sadasivakona,TE,Seismic Zone-III,Completed,AP01LH0048,D04649,Sri Kalahasti,Irrg.& CAD Dept.,47.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
111,AP_DAM_WRIS_AP01LH0055,Thadukuvagu Dam,dam,1,103,94,1982,,12.2,900.0,,,,,,680.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0055,D05261,Badvel,Irrg.& CAD Dept.,44.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
112,AP_DAM_WRIS_AP01MH0145,"Urakagedda , Sankaram (V), Madugula(M) Dam",dam,1,103,95,,,25.0,515.0,,,,,,15651.0,,,,,TE,Seismic Zone-II,Under Construction,AP01MH0145,D05266,Paderu,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
113,AP_DAM_WRIS_AP01LH0071,Sancherla Dam,dam,1,103,96,2000,,12.0,500.0,,,,,,340.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0071,D05180,Badvel,Irrg.& CAD Dept.,26.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
114,AP_DAM_WRIS_AP01LH0116,Sankarayalapeta Dam,dam,1,103,97,,,13.0,2000.0,,,,,,,,,,,TE + PG,Seismic Zone-II,,AP01LH0116,D05182,Punganuru,Irrg.& CAD Dept.,,4,0.4,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
115,AP_DAM_WRIS_AP01LH0147,Vanaka Badigedda Dam,dam,1,103,98,,,13.0,630.0,1.99,,,,,,,,,Vanaka Badigedda,TE + PG,Seismic Zone-II,Under Construction,AP01LH0147,D05291,Parvathipuram,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
116,AP_DAM_WRIS_AP01MH0066,Varikunta Dam,dam,1,103,99,1997,,15.1,1156.0,,,,RD,,810.0,,,,,TE,Seismic Zone-II,Completed,AP01MH0066,D05292,Badvel,Irrg.& CAD Dept.,29.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
117,AP_DAM_WRIS_AP01LH0032,Vyasasamudram Dam,dam,1,103,100,1974,,11.29,840.0,,,,LG,,169.0,,,,,TE + PG,Seismic Zone-II,Completed,AP01LH0032,D05299,Madanapalle,Irrg.& CAD Dept.,52.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
118,AP_DAM_WRIS_AP01LH0124,Y.T.Cheruvu Dam,dam,1,103,101,,,10.0,2078.0,,,,LG,,226.0,,,,,TE + PG,Seismic Zone-II,,AP01LH0124,D05300,Gooty,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
119,AP_DAM_WRIS_AP01LH0061,Savisettipalli Dam,dam,1,103,102,1985,,12.0,200.0,,,,,,130.0,,,,,TE,Seismic Zone-II,Completed,AP01LH0061,D05190,Badvel,Irrg.& CAD Dept.,41.0,6,0.6,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
120,AP_DAM_WRIS_AP01LH0117,"Seethai Cheru, Seethaipally Dam",dam,1,103,103,1922,,11.0,1020.0,,,,,,104.0,,,,Godavari,TE,Seismic Zone-II,,AP01LH0117,D05193,Addanki,Irrg.& CAD Dept.,104.0,7,0.7,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
121,AP_DAM_WRIS_AP01LH0118,Sreerangarayani Cheruvu Dam,dam,1,103,104,,,11.708,2378.76,,,,,,992.0,,,,,TE + PG,Seismic Zone-II,,AP01LH0118,D05207,Anantapur,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
122,AP_DAM_WRIS_AP01LH0120,T.Sundupalli Dam,dam,1,103,105,,,10.0,1100.0,,,,,,685.0,,,,,TE + PG,Seismic Zone-II,,AP01LH0120,D05214,Badvel,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
123,AP_DAM_WRIS_AP01MH0121,"Tajangi , Tajangi(V) Dam",dam,1,103,106,,,17.3,220.0,,,,,,12500.0,,,,,TE,Seismic Zone-II,,AP01MH0121,D05215,Chintapalle,Irrg.& CAD Dept.,,5,0.5,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
124,AP_DAM_WRIS_D06052,Alaganoor Dam,dam,1,103,107,,,,,,,,,,,,,,,,Seismic Zone-II,,,D06052,Nandikotkur,,,1,0.1,False,B2,GOVERNMENT_DERIVED_MIRROR,SOURCE_PRESERVED,0.8,2026-09-03T04:45:38.976858+00:00
