asset_id,osm_way_id,structure_key,bridge_type,actual_length_m,reported_width_m,render_width_m,width_basis,latitude,longitude,actual_geometry,geometry_source,lanes_reported,material_reported,verified_pier_count,pier_count_status,rendering_strategy,rendering_estimated,profile_version,updated_at
4772,680579836,OSM_WAY::680579836,ROAD,75.59,,7.0,VISUALIZATION_ESTIMATE,16.4930207,80.75538703333334,"{""type"": ""LineString"", ""coordinates"": [[80.7556359, 16.4933082], [80.7553388, 16.4929712], [80.7551864, 16.4927827]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4773,680581400,OSM_WAY::680581400,ROAD,31.41,,7.0,VISUALIZATION_ESTIMATE,16.8110731,81.5147902,"{""type"": ""LineString"", ""coordinates"": [[81.5147862, 16.8112143], [81.5147942, 16.8109319]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4774,680581510,OSM_WAY::680581510,ROAD,11.73,,7.0,VISUALIZATION_ESTIMATE,16.53967745,81.51968655,"{""type"": ""LineString"", ""coordinates"": [[81.5196356, 16.5396575], [81.5197375, 16.5396974]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4775,680581514,OSM_WAY::680581514,ROAD,12.9,,7.0,VISUALIZATION_ESTIMATE,16.540195500000003,81.51941235,"{""type"": ""LineString"", ""coordinates"": [[81.5193607, 16.5401653], [81.519464, 16.5402257]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4776,680581515,OSM_WAY::680581515,ROAD,13.82,,7.0,VISUALIZATION_ESTIMATE,16.54198575,81.5188759,"{""type"": ""LineString"", ""coordinates"": [[81.5188122, 16.5419742], [81.5189396, 16.5419973]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4777,680581703,NAME::nuzividu mylavaram road::ROAD,ROAD,109.1,,7.0,VISUALIZATION_ESTIMATE,16.758668450000002,80.6506756,"{""type"": ""LineString"", ""coordinates"": [[80.6502256, 16.7584339], [80.6511256, 16.758903]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4778,680582297,OSM_WAY::680582297,ROAD,10.55,,7.0,VISUALIZATION_ESTIMATE,16.11210155,80.89820455,"{""type"": ""LineString"", ""coordinates"": [[80.8982047, 16.1120541], [80.8982044, 16.112149]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4779,680582368,OSM_WAY::680582368,ROAD,80.48,,7.0,VISUALIZATION_ESTIMATE,16.473589949999997,80.13128664999999,"{""type"": ""LineString"", ""coordinates"": [[80.1309937, 16.4738181], [80.1315796, 16.4733618]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4780,680582560,REF::mdr0172::ROAD,ROAD,24.54,,7.0,VISUALIZATION_ESTIMATE,16.71931515,81.89199395,"{""type"": ""LineString"", ""coordinates"": [[81.8920992, 16.7193601], [81.8918887, 16.7192702]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
4781,680582562,REF::mdr0172::ROAD,ROAD,26.88,,7.0,VISUALIZATION_ESTIMATE,16.7186832,81.8879237,"{""type"": ""LineString"", ""coordinates"": [[81.8880209, 16.7187603], [81.8878265, 16.7186061]]}",OPENSTREETMAP,,,,UNKNOWN_DO_NOT_REPORT,REAL_OSM_ALIGNMENT_PROCEDURAL_3D,True,ap_bridge_twin_v1,2026-09-03T14:14:16.563564+00:00
